================================================================================
                        DETAILED STATISTICS
================================================================================

Table 6: Statistical Summary (3 runs per configuration)
--------------------------------------------------------------------------------
Implementation       | Size   | Procs  | Min      | Max      | Avg      | StdDev  
---------------------+--------+--------+----------+----------+----------+---------
OpenMP_Multicore     |   4096 |      2 | 0.027847 | 0.028835 | 0.028389 | 0.000409
OpenMP_Multicore     |   4096 |      4 | 0.018387 | 0.027483 | 0.023870 | 0.003942
MPI_Distributed      |   1024 |      2 | 0.001933 | 0.001992 | 0.001960 | 0.000024
MPI_Distributed      |   1024 |      4 | 0.001350 | 0.001712 | 0.001570 | 0.000158
OpenMP_Multicore     |   4096 |      8 | 0.010904 | 0.012142 | 0.011503 | 0.000506
CPU_Sequential       |   1024 |      1 | 0.003587 | 0.003609 | 0.003598 | 0.000011
MPI_Distributed      |   1024 |      8 | 0.001266 | 0.001665 | 0.001443 | 0.000166
OpenMP_Multicore     |   2048 |      2 | 0.006565 | 0.011144 | 0.008152 | 0.002117
MPI_Distributed      |   4096 |      2 | 0.028264 | 0.028680 | 0.028452 | 0.000172
CUDA_Custom          |   1024 |    GPU | 0.001393 | 0.001421 | 0.001408 | 0.000011
OpenMP_Multicore     |   2048 |      4 | 0.005410 | 0.006226 | 0.005736 | 0.000353
CUDA_cuSPARSE        |   1024 |    GPU | 0.002323 | 0.002439 | 0.002367 | 0.000051
CUDA_cuBLAS          |   1024 |    GPU | 0.000501 | 0.000524 | 0.000515 | 0.000010
MPI_Distributed      |   4096 |      4 | 0.021449 | 0.025959 | 0.024410 | 0.002095
OpenMP_Multicore     |   2048 |      8 | 0.002450 | 0.003615 | 0.003096 | 0.000484
CPU_Sequential       |   4096 |      1 | 0.050876 | 0.053402 | 0.052250 | 0.001043
MPI_Distributed      |   4096 |      8 | 0.013595 | 0.016859 | 0.014890 | 0.001415
CUDA_cuBLAS          |   4096 |    GPU | 0.001844 | 0.001906 | 0.001872 | 0.000026
CUDA_Custom          |   4096 |    GPU | 0.008952 | 0.008968 | 0.008961 | 0.000007
CUDA_cuSPARSE        |   4096 |    GPU | 0.011085 | 0.011107 | 0.011092 | 0.000010
MPI_Distributed      |   2048 |      2 | 0.007164 | 0.007235 | 0.007198 | 0.000029
MPI_Distributed      |   2048 |      4 | 0.005549 | 0.006409 | 0.006055 | 0.000367
CPU_Sequential       |   2048 |      1 | 0.012700 | 0.023819 | 0.016585 | 0.005120
MPI_Distributed      |   2048 |      8 | 0.003671 | 0.006393 | 0.005316 | 0.001181
OpenMP_Multicore     |   1024 |      2 | 0.001971 | 0.003849 | 0.003196 | 0.000867
OpenMP_Multicore     |   1024 |      4 | 0.001447 | 0.002145 | 0.001897 | 0.000319
CUDA_Custom          |   2048 |    GPU | 0.002549 | 0.002577 | 0.002563 | 0.000011
CUDA_cuSPARSE        |   2048 |    GPU | 0.004360 | 0.004386 | 0.004373 | 0.000011
CUDA_cuBLAS          |   2048 |    GPU | 0.000882 | 0.000986 | 0.000919 | 0.000047
OpenMP_Multicore     |   1024 |      8 | 0.000711 | 0.000940 | 0.000857 | 0.000104
