experiment,device,batch_size,grad_accum,quantization,duration_seconds
cpu_bs1_ga8_8core,CPU,1,8,none,1857
cpu_bs2_ga4_8core,CPU,2,4,none,968
cpu_bs4_ga2_8core,CPU,4,2,none,572
cpu_bs1_ga8_32core,CPU,1,8,none,1180
cpu_bs2_ga4_32core,CPU,2,4,none,637
cpu_bs4_ga2_32core,CPU,4,2,none,373
gpu_bs1_ga8_1080Ti,GPU,1,8,none,907
gpu_bs2_ga4_1080Ti,GPU,2,4,none,634
gpu_bs4_ga2_1080Ti,GPU,4,2,none,538
gpu_bs8_ga1_1080Ti,GPU,8,1,none,499
gpu_bs1_ga8_3070,GPU,1,8,none,1170
gpu_bs2_ga4_3070,GPU,2,4,none,973
gpu_bs4_ga2_3070,GPU,4,2,none,550
gpu_bs8_ga1_3070,GPU,8,1,none,401
gpu_bs1_ga8_3080,GPU,1,8,none,1170
gpu_bs2_ga4_3080,GPU,2,4,none,638
gpu_bs4_ga2_3080,GPU,4,2,none,374
gpu_bs8_ga1_3080,GPU,8,1,none,312
